artist,title,English_clean_lyric
  조관우  ,작은 연인들,
  이승환  ,덩크슛,
  프롬  ,Beautiful world (Inst.),beautiful world beautiful world everything beautiful world beautiful world everything
  블루비 (BLUE.B)  ,그때 그 겨울날에 우리,
  김기쁨  ,어쩌다 우리,
  장혜진  ,마지막 이별,
  임창정  ,그 사람을 아나요,oh oh
  김신의 (몽니)  ,너 없인 못살것 같더니,
  강태규  ,봄.. 이별 (Feat. JIYA),
  걸스데이  ,I`ll Be Yours (Inst.),baby maybe ooh wee baby check whoo oh baby maybe wait minute baby ooh wee baby like popping champagne chic whoo oh baby maybe wait minute baby come baby boy right right inside night step step baby flower baby feel good oh yeah baby maybe wait minute baby
  소울라티도  ,I Can`t Stop,stop got ta start broke everything stop got ta start stop got ta start stop got ta start stop
  김성규  ,Alive,
  륜섭  ,위로,
  혜령  ,너 없는 하루가,
  키니  ,이른 아침부터,oh baby waiting waiting oh baby waiting lonely waiting
  윤종신  ,바다 이야기,
"  지연 ,  준형 (2BIC)  ",바라보다 심쿵 (Feat. 윤요),love u need u love u comedy fantasy love u need u love u love u need u oh oh oh love oh oh oh love oh oh oh miss everyday oh everynight
  화이트  ,다시 시작해,
  조성모  ,불멸의 사랑,
  제이  ,"사랑, 눈물감기",
  김동완  ,남은 사람 (Duet With 신혜성),
  최성용  ,괜찮아질까,
  거미  ,님은 먼 곳에,
  임소정  ,새벽길,
  박기영  ,미안했어요,
  바이브  ,속도 모르고,
  제이에반스  ,"가까이 (Feat. 용용이, 황시진)",tv falling star shooting star love take time lucky uh sometimes love find way
  지아  ,사랑에 미쳐서,
  우예린  ,소녀 (Inst.),
  베이지  ,마주보다,
  쿨 (COOL)  ,그녀의 결혼식,
  PK 헤만  ,Evergreen (Feat. 이지혜),
  이상우  ,슬픈 그림같은 사랑,
  상어  ,부자가 되는 꿈 (feat. 평행프로젝트),yeah
  블루비 (BLUE.B)  ,길,
"  넬 (NELL) ,  지선  ",Like A Star,like star across sky like angel page appeared life feel like never like song heart like oil hands honor love still wonder argue like anyone time blowing mind got look describe make feel alive everything else au fait without doubt side heaven away long find words write song love still wonder argue like anyone time blowing mind come understand way secret anymore cause tonight know one confused dark understand still wonder argue like anyone wonder let guard anyone time blowing mind like star across sky like angel page appeared life feel like never like song heart like oil hands
  마사빌레  ,비가 (Rain Song),addictied oh oh oh oh oh uh
  남태현  ,바램,
  슬로우 폴 (Slow Paul)  ,겨울 바다는 얼지 않듯,
  달에닿아  ,바람이 불면 (Duet. 조민후),
  드라마틱스  ,밉더라 (Vocal  주대건 Of 소리얼),
  아이오아이 (I.O.I)  ,소나기,
  우은미 (Woo Eun Mi)  ,괜찮아 오늘도 하는 말,
  마끼아또(Machiato)  ,큐피트 화살 (Inst.),
  백지영  ,잊지 말아요 (Inst.),
  문명진  ,기억해,hook x
  박효신  ,You & Me,try let know try tonight oh try let know try tonight rain drops falling face oh life song
  유승준  ,One Fine Day,know much love
  란 (RAN)  ,우리 처음 (Feat. 유리),goodbye love
  이성은  ,하늘아,
  SG 워너비  ,우습지,
  에이나린  ,눈물난다 생각난다,
"  김범수 ,  Papertonic  ",나 가거든,
  엠씨더맥스 (M.C the MAX)  ,별,
  양수경  ,당신은 어디있나요,
  김정민  ,애인(愛人),
  롱디 (LONG:D)  ,그리워라,oh feels like ooh ooh ooh ooh ooh feels like ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh feels like ooh ooh ooh ooh ooh night thinkin bout night thinkin bout night night thinkin bout night thinkin bout night everything right everything nice night night night everything right everything nice night night night
  이수영  ,라라라,
  이수영  ,착한 여자,
  로이킴  ,오래전 그날,
  김범수  ,눈 속의 너,merry christmas
  포지션  ,바램,
"  유용호 ,  새봄 (saevom)  ",우리가 잊고 살았던 작은 것들,
  바닐라 어쿠스틱  ,같은 말,still love still love still love love love still love tell love tell love
"  PK 헤만 ,  정석  ",아낌없이 주는 나무,
  나원주  ,Just For You,cry cry cry lie lie lie try try try smile smile smile cry cry cry lie lie lie try try try smile smile smile cry cry cry lie lie lie try try try smile smile smile cry cry cry lie lie lie try try try smile smile smile
  포지션  ,미루나무,
  이지형  ,단풍놀이,
  한올  ,너와 나는,go back came far away know far away go back came far away know far away far away
  장나라  ,I Love School,
  히스토리  ,The Last Time,oh oh cry last time oh oh cry last time let go love
