artist,title,English_clean_lyric
  Atomic Juice  ,Love Game,game wan time game pain girl girl please love girl love girl love day flash damn light damn night wan time game pain girl girl please love girl love girl love wan game pain girl girl please love girl love girl love gon way way way love love love tick let let let tell baby let tell girl tell girl tell girl count shin tick let let let tell baby let tell girl tell girl tell girl tell baby go wait tell baby go wait miss tell baby let tell girl tell girl tell girl hear love yeah girl oh girl girl light light light bright yeah girl oh girl girl girl oh girl girl long wrong long na alone along alone na alone along alone alone
  75A  ,Taipei,tulsa favorite wine sonoma angeles california eye lip freak beauty princess killer agitator terror murder abc murder agatha christie shit sinner prosecutor love ponytail ponytail people yes space cause space syringe ride express train ride train ride express train taipei love land taipei love land ride express train taipei love land taipei love land taipei love land bear grow love love love love go outer shoot pass leave leave go taipei go taipei go taipei go taipei go taipei go taipei go taipei green salsa los pacific antlantic abc aquittal surrealist surrealist right right
  은일 킴  ,바보똥개멍충아,
  Bye Bye Badman  ,Purify My Love,street hand pocket kiss street hand pocket love money clip street hand pocket kiss street hand pocket love kiss love kiss walk walk blow walk walk blow blow twenty kiss twenty
  스카웨이커스 (SKA WAKERs)  ,Beyond The Storm,thing heard towards truth hidden storm thing heard towards truth hidden storm medium eye government nose mouth people people power journalist politician puppet master money fist power storm calm calm calm calm calm calm calm calm see see raise unseen unheard unseen unheard truth never anymore never anymore never anymore never anymore never anymore never anymore never anymore never anymore
  브로콜리너마저  ,앵콜요청금지,
  피터팬 컴플렉스  ,로켓트,
  오왠 (O.WHEN)  ,독백,
  장난감 프로젝트  ,봄 그리기,
"  공기남 ,  고닥  ",봄이 되어줄게 (Feat. 그_냥),
  루시드폴  ,평범한 사람,
  스탠딩 에그  ,사랑에 빠져본 적 있나요 (With Ra.D) (Acoustic Ver.),alright love love love love night baby cause girl im girl head love love love love love love love love love love love love love love love love feel fall baby fall baby fall baby fall wan love get fall baby fall baby fall baby fall fall baby fall baby fall baby fall fall baby fall baby fall baby fall fall baby fall baby fall baby fall mine last sleep cant ever oh ever oh ever oh ever ever oh ever oh ever oh ever ever oh ever oh ever oh ever ever oh ever oh ever oh ever ever oh ever oh ever oh ever
  사우스카니발  ,Paradise,
  플라스틱  ,가을연가 (Feat. 선엘),hey
  옥상달빛  ,Tickle,
  레코드벨  ,인사,
  인스턴트 로맨틱 플로어  ,Bye Bye Bye,bye bye bye bye bye bye bye bye bye bye bye bye goodbye bye bye bye bye bye bye bye bye please bye bye bye goodbye bye bye bye bye bye bye bye bye bye bye please bye bye bye goodbye bye bye bye bye bye please bye bye bye bye bye goodbye bye bye bye bye bye bye bye bye bye bye bye bye gon take bye tell tell tell tell tell tell bye goodbye goodbye bye goodbye goodbye bye goodbye goodbye anymore
  소소한 프로젝트  ,이름모를 꽃,
  김한울 (Kim HanOul)  ,치사해,
  플라스틱  ,눈꽃,
  로코베리  ,애니 (Any),
  오리엔탈 쇼커스  ,Rosy Cheeked,woo cheek cheek cheek cheek cheek cheek cheeked cheek kiss cheek kiss cheek kiss cheek kiss cheek cheek kiss cheek kiss cheek rosy rosy rosy rosy rosy rosy rosy rosy
  생각의 여름  ,두 나무,
  기억  ,청춘,
  소보  ,좌뇌로 쓴 편지 (Feat. 배창복),
  에디전 (뷰티핸섬)  ,"아빠, 설명해주세요",
  솔루션스 (THE SOLUTIONS)  ,(I Couldn`t Be) Your One,bye time care mind way flame flyer liar pace word head way oh flyer liar dream one bye bye flyer liar dream one say know try find tire make want make think lose spin know try find tire make want make think drain say say say make want make think drain say good high high good good high never never far away never never away always never away always
  옥상달빛  ,Help,
  크라잉넛 (CRYING NUT)  ,게릴라성 집중호우,
  문선 (MOONSUN)  ,뭇 (Un Certain Ver.),
  platz (플랏츠)  ,Boy meet Girl (Vocal by 승환),meet girl boy
  정유연  ,일어나,
  김사월  ,8월 밤의 고백,
  EE  ,퐁퐁퐁,
  갤럭시 익스프레스  ,개구쟁이,rock roller rock roller
  에브리 싱글 데이  ,"Yes, I`m In Love",
  윤영배  ,길고 긴 숨,
  유지희  ,우리의 이야기는 끝일까,
  라이프 앤 타임  ,말달리자,
  사비나앤드론즈  ,그리운 봄날,rain living neon yeah walk break beautiful
  레이지 본  ,어기여차,right
  장필순  ,흔들리는 대로,
  흔적  ,하루의 끝,
  Goosemoan (구스모안)  ,피자 샤랄라 (Pizza shalala),silence town heart soul fire word voice mom way yeah insecure answer sloth dancer word voice dad way yeah way yeah tell put take say hear call smile feel prattle show let love let shine tell wating say hear call smile feel prattle show let love let shine feel prattle show let love let shine funky magic late sad high high high easy moonlight magic late sad high high high oh high high high endlessly endlessly endlessly
  아는남자  ,그때 우리 (With Hee),
  마이마이  ,I`m The Man,raight raight man man man man man man man man man man man man man straight
  안녕바다  ,Fight Club,fight punch let fight punch punch punch punch punch fight club get get get get get get get get get punch punch
  권성모  ,무중력,
  조제 (Joje)  ,"너와, 제주",
"  볼빨간사춘기 ,  스무살  ",남이 될 수 있을까,love love love love love love
  이호석  ,관계,
  데이브레이크 (DAYBREAK)  ,그대 맘에 불을 지펴 줄게요,
  썸네일 프로젝트  ,두번째 스무살,
  옥상거지  ,넌 좋은 사람이야,
  푸른 새벽  ,스무살,
  도리토리  ,정말 좋다니까 (feat. 박성욱 of 마리슈),baby baby baby chu
  Eismond  ,Make Me Feel,wan wan someone party wan wan someone party wan get wan feel lie get wan lie right right wan right na together na na na never together na na na never
  초콜릿 노트  ,말이되지,baby baby baby baby baby baby baby baby baby baby
  내귀에 도청장치  ,E-mail,
  Club505  ,별님이여,baby star star star star star star light little light little light little light little light little light little
  Noizegarden  ,그렇게말하지않았어,
  허클베리 핀  ,Too Young,hey hey die hey die die die hey die hey die young young young young young young young young young young young hey
  사우스카니발  ,제주도의 푸른밤,
  캐스커  ,꼭 이만큼만,
  빌리어코스티  ,쉬고 싶어 (New Ver.),
  TAEK  ,혹시 기분이 상하지 않도록,match baby care care match baby match baby care care match baby match baby care care match baby match baby care care match baby match baby care care match baby match baby care care match baby
  FOOL IN THE POOL (풀인더풀)  ,Red Rum,
  4th Floor  ,Cloud,
  우물안 개구리  ,넌 나에게,
  philtre  ,예쁘더라,
  이루리 프로젝트  ,잘 지내니,
  허클베리 핀  ,그들이 온다,
  안녕하신가영  ,밤하늘의 별들은,
  낭만유랑악단  ,서로의,
  유지희  ,웃어 줄래,smile
  곽푸른하늘  ,"그래, 나 어설프다",
  몬구  ,불꽃놀이,
  러브엑스테레오  ,Rage Is Not Enough (Danja Mix) (Remastered),time makeup money game war fear forget matter something cause rage rage enslavement way pavement moment moment back cause devil matter rule rage rage rage rage rage rage rage rage wake freshen end kiss start deal forget hit think fly make get let bring break stand gon break warm nervous enough enough young enough enough enough enough enough enough enough enough really never soon away enough enough
  김이불  ,우리 오늘 조금 더 같이 있자,
  후아유  ,그러지 말걸 (Feat.MaseWonder),yeah yeah yeah greedy
  이규호 (Kyo)  ,매일 지구 굴린다 (Cori Trance Radio Edit),
  몽키즈  ,Make Yourself,make make make make make make make make make
  튠 (TUNE)  ,아름다운것과 소멸되는것,world heart grab chance remember lose take go sight last never forever
  퀘보스타  ,세 번째 변덕,follow see married never
  고래와 정민  ,우연,
  오영  ,Alaska,
  파블로프  ,심야영화,
