artist,title,Korean_clean_lyric
  James Arthur  ,Remember Who I Was,
  Faces On TV  ,The Image Of Boy Wonder,
  Why Don`t We  ,Just To See You Smile,
  James Arthur  ,I Am,
  One Direction  ,I Should Have Kissed You,
  Clara Mae  ,Sorry For Writing All The Songs About You,
  Billy Lockett  ,Empty House,
  The Real Group  ,Cage Of Promises,
  Five  ,Straight Up Funk,
  Celine Dion  ,S`il Suffisait D`aimer (Live In Quebec City),
  Olly Murs  ,Seasons,
  Ellie Goulding  ,Hollow Crown,
  Feels  ,Thrill (Feat. Melii),
  Backstreet Boys  ,Christmas Time,
  Boyzone  ,Because,
  Demi Lovato  ,Every Time You Lie,
  Natasha Bedingfield  ,Soulmate (Bimbo Jones Clubmix),
  Gil  ,If You Only Knew,
  Yuna  ,Come Back,
  Maria Mena  ,All This Time (Pick-Me-Up Song),
  Justin Bieber  ,U Smile,
  J.Fla  ,Tired,
  Nina  ,Love Moves In Mysterious Ways (Live),
  Ed Sheeran  ,Kiss Me,
  Johnny Balik  ,OMW,
  Better Than Ezra  ,Juicy,
  Shakira  ,Waka Waka (Esto Es Africa) (Feat. Freshlyground),
"  Robin Schulz ,  Lilly Wood ,  The Prick  ",Prayer In C (Robin Schulz Remix),
  The Bird And The Bee  ,Will You Dance?,
  Frances  ,Don`t Worry About Me,
  Lara Fabian  ,Je Suis Malade,
"  Calvin Harris ,  Rag`N`Bone Man  ",Giant,
  James Arthur  ,You Deserve Better,
  Caro Emerald  ,The Ghost Of You,
  Ady Suleiman  ,So Lost,
  Drop out  ,More (Feat. Ryan Ellis),
  Atomic Kitten  ,Locomotion,
  Atomic Kitten  ,The Tide Is High (Get The Feeling) (Radio Mix),
  Fifth Harmony  ,Them Girls Be Like,
  Totem  ,All Falls Down,
  Muna  ,Winterbreak,
  C-Note  ,Right Next To Me,
  The 5th Dimension  ,Monday Monday,
  Celine Dion  ,Fade Away,
  Madonna  ,Bad Girl (Album Version),
  Taylor Swift  ,Lover,
  Timeflies  ,I Choose U (Album Version),
  Will Young  ,Silent Valentine,
  Beyonce  ,Don`t Hurt Yourself (Homecoming Live),
  Jamiroquai  ,Dynamite,
  Pentatonix  ,Coventry Carol,
  Shawn Mendes  ,Under Pressure (Feat. teddy<3),
  Pixie Lott  ,Here We Go Again,
  Jeronimo  ,When I`m Gone (Cups),
  Katy Perry  ,The One That Got Away (7th Heaven Club Mix),
  Orkid  ,So Rude,
  Joan Thiele  ,Heartbeat,
  Prince Royce  ,Handcuffs,
  Chris Garneau  ,The Cats & Kids,
  somegirlnamedanna  ,hello i am,
  Pixie Lott  ,Perfect,
  Sarah McLachlan  ,I Will Remember You,
  Abraham Mateo  ,If I Can`t Have You,
  Carry & Ron  ,I.O.U.,당신 믿다 있다 당신 영원하다 바꾸다 놓다 또한 같다 사람 다시다 찾다 당신 당신 수명 오래 살기 바라지 당신 베풀다 돌려주다 위해 그것 당신 그렇게 믿다 뿐이다 당신 지고 있다 아침 햇살 모든 사랑스럽다 시간 빼앗다 갈다 없다 당신 지고 있다 현재 이상 어느 그것 가장 알다 영원하다 갚다 당신 놀라다 당신 바로 위해 산다 당신 아시 당신 포옹 있다 당신 바로 있다 있다 당신 미소 보내다 않다 없다 놀라다 당신 내다 당신 위해 모든 왜냐하면 혼자 있다
  Public Announcement  ,Slow Dance,
  J.Fla  ,Happier,
  Christopher  ,Famous,
  The Beach Boys  ,Ding Dang,
  Nelly Furtado  ,Too Good,
  Isak Danielson  ,Playing Love,
  Lolo  ,Not Gonna Let You Walk Away (Tennessee Mix),
  Kiddo  ,Trouble,
  Shirley Bassey  ,No Good About Goodbye,
  Kesha  ,Your Love Is My Drug,
  MIKA  ,Celebrate (Feat. Pharrell Williams),
  Nova Miller  ,Turn Up the Fire,
  Phildel  ,The Wolf,
  Beyonce  ,Daddy Lessons (Feat. Dixie Chicks),
  Ed Sheeran  ,Eraser,
  Wouter Hamel  ,I’ll Be Free (demo version-bonus track),
  Nana Mouskouri  ,Only Love,
  Aviva  ,Wild,
  E-Type  ,Here I Go Again,
  Mr. Mister  ,Kyrie,
  Dami Im  ,I Hear a Song,
  Dschinghis Khan  ,Corrida,
  Rachael Yamagata  ,Miles On A Car,
  Group 1 Crew  ,Let It Roll,
  Weird Al Yankovic  ,Handy,
  Leo Sayer  ,More Than I Can Say,
  MKTO  ,Wasted,
  Taylor Swift  ,Delicate,
"  이민 (Coco Lee, 李玟)  ",Before I Fall In Love,
  Jay Sean  ,Emergency,
  Guy Sebastian  ,All I Need Is You (Acoustic Ver.),
  Labrinth  ,Where The Wild Things,
"  Cleo Laine ,  John Williams  ",He Was Beautiful,
  Tyler Shaw  ,It Happens All the Time,
  Paul McCartney  ,Carry That Weight,
  Sia  ,Big Girls Cry,
  Leonard Cohen  ,Nevermind,
"  Calum Scott ,  Leona Lewis  ",You Are The Reason (Duet Ver.),
  Lana Del Rey  ,Beautiful People Beautiful Problems (Feat. Stevie Nicks),
  Beyonce  ,Halo (Dave Aude Club Remix),
  Josh Groban  ,Vincent,
  Josh Groban  ,Bring Him Home (레미제라블),
  Pentatonix  ,Can`t Sleep Love,
  Billie Eilish  ,bad guy,
  Club 8  ,Hopes And Dreams,
  She & Him  ,Christmas Memories,
  The Collective  ,Lazy Love,
  Ne-Yo  ,Because Of You,
  Eruption  ,One Way Ticket,
