artist,title,Korean_clean_lyric
  FTISLAND (FT아일랜드)  ,지독하게,아무 표정 없이 아무렇다 않다 그렇게 보내다 매일 연습 해보다 어색하다 웃음 보이 몰래 울다 법도 매일 연습 보다 떨리다 목소리 들키다 같다 사랑 이별 아마 수천 수만 배다 힘드다 없이 살다 바보 어쩌라고 지독하다 너무 지독하다 사랑 보다 숨다 찾다 도대체 언제 그만 있다 지독하다 너무 지독하다 사랑 보다 보내다 내겐 죽다 힘드다 지독하다 일인 같다 아무리 아프다 아무렇다 않다 그렇게 하루 보내다 그저 익숙하다 지다 매일 연습 보다 어차피 잊다 같다 고치다 없다 아프다 해도 없이 살다 바보 어쩌라고 지독하다 너무 지독하다 사랑 보다 숨다 찾다 도대체 언제 그만 있다 지독하다 너무 지독하다 사랑 보다 보내다 내겐 죽다 힘드다 지독하다 일인 같다 차라리 이렇다 사랑 말걸 언제 잊다 미련 너무 미련 사랑 보다 다른 사랑 꾸다 모르다 바보 어쩌라고 지독하다 너무 지독하다 별하나 보다 자다 가다 어렵다 입술 떼다 머뭇거리다 지독하다 너무 지독하다 별하나 보다 흉터 깊이 가슴 남아 지우다 없다 같다
  Helloween (헬로윈)  ,March Of Time,
  레이시오스  ,Passion Is Love,
  Cigarettes After Sex  ,John Wayne,
  부활  ,사랑이라는 이름을 더하여,지평선 보이다 해도 가까이 가면 갈수록 없이 이어지다 바람 실리다 계절 흘러가다 눈사람 녹다 자리 코스모스 피다 그리움 그리움 이름 사랑 이름 더하다 서로 간직 영원하다 기억 살아가다 있다 거기 기다림 기다림 이름 소망 이름 더하다 갈다 간직 영원하다 기억 이루어지다 가다 거기 지평선 보이다 해도 가까이 가면 갈수록 없이 이어지다 바람 실리다 계절 흘러가다 눈사람 녹다 자리 코스모스 피다 가다 가다 모든 순간 이유 있다 세월 가다 아름답다 다가오다 지나 시간 가다 가다 모든 순간 의미 있다 세월 가다 아름답다 다가오다 지나 시간
  Staind  ,Crawl (Live),
  Lasse Lindh  ,Love Will Never Ever Be The Same,
  Bon Jovi  ,Keep The Faith,
  Michael Learns To Rock  ,How Many Hours,
  레이지 본  ,청공,파란 끝없이 맑다 사람 눈물 끝없이 맑다 야하다 넓다 파란 한번 바라보다 넓다 파란 한번 바라보다 끝없이 펼쳐지다 맑은 끝없이 펼쳐지다 맑은 이제 마음 펴다 싫다 바보 파란 끝없이 맑다 사람 눈물 끝없이 맑다 야하다 넓다 파란 한번 바라보다 넓다 파란 한번 바라보다 끝없이 펼쳐지다 맑은 끝없이 펼쳐지다 맑은 이제 마음 펴다 싫다 바보 사람 가식 둘러싸이다 그것 가식 인지도 모른체 파란하늘 울다 사람 안타깝다 파란 끝없이 맑다 사람 눈물 끝없이 맑다 야하다 넓다 파란 한번 바라보다 넓다 파란 한번 바라보다
